department_Corporate Services,department_Facilities,department_Finance,department_IT,department_Operations,department_Procurement,department_Project Management,region_Central,region_East Coast,region_Northern,region_Sabah,region_Sarawak,region_Southern,procurement_method_Direct Award,procurement_method_Emergency Procurement,procurement_method_Open Tender,procurement_method_Panel Vendor,procurement_method_RFQ,contract_amount,invoice_amount,claimed_units,verified_units,number_of_bidders,tender_duration_days,has_checker,has_approver,coi_declared,past_complaints_12m,variation_order_count,variation_order_amount,late_delivery_days,duplicate_invoice_flag,round_amount_flag,split_purchase_flag,invoice_contract_ratio,invoice_contract_variance,claim_variance_units,claim_variance_pct,direct_award_flag,emergency_procurement_flag,single_bidder_flag,short_tender_flag,missing_checker_flag,missing_approver_flag,complaint_flag,vo_amount_ratio,late_delivery_flag
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42242.86,31938.4,201.0,201.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.7561,-10304.46,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30074.5,22555.87,460.0,460.0,5.0,47.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.75,-7518.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5985.08,4908.66,76.0,76.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.8201,-1076.42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19967.51,22242.64,51.0,51.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,3281.42,14.0,0.0,0.0,0.0,1.1139,2275.13,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1643,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22440.01,21201.48,78.0,78.0,6.0,41.0,1.0,1.0,0.0,0.0,1.0,1157.48,15.0,0.0,0.0,0.0,0.9448,-1238.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0516,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26670.93,25028.08,403.0,403.0,4.0,14.0,1.0,1.0,0.0,0.0,3.0,1914.62,14.0,0.0,0.0,0.0,0.9384,-1642.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0718,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,128511.32,99621.62,432.0,408.0,1.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.7752,-28889.7,24.0,0.0588,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5432.03,6900.0,338.0,338.0,3.0,13.0,1.0,1.0,0.0,2.0,4.0,392.06,17.0,0.0,1.0,0.0,1.2702,1467.97,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0722,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22973.6,18826.42,11.0,11.0,7.0,36.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.8195,-4147.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6398.45,5412.29,123.0,106.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8459,-986.16,17.0,0.1604,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
