transaction_id,vendor_id,department,region,procurement_method,contract_amount,invoice_amount,claimed_units,verified_units,number_of_bidders,tender_duration_days,has_checker,has_approver,coi_declared,past_complaints_12m,variation_order_count,variation_order_amount,late_delivery_days,duplicate_invoice_flag,round_amount_flag,split_purchase_flag,invoice_contract_ratio,invoice_contract_variance,claim_variance_units,claim_variance_pct,direct_award_flag,emergency_procurement_flag,single_bidder_flag,short_tender_flag,missing_checker_flag,missing_approver_flag,complaint_flag,vo_amount_ratio,late_delivery_flag,risk_score,risk_level,review_required
TXN-000001,VEND-0019,Facilities,Sabah,Emergency Procurement,76816.41,105000.0,616,452,1,3,1,1,0,3,4,6656.72,2,1,1,0,1.3669,28183.59,164,0.3628,0,1,1,1,0,0,1,0.0867,0,100,Critical,Yes
TXN-000002,VEND-0014,Finance,Southern,Open Tender,35530.39,36000.0,2,1,1,1,1,1,0,2,1,9779.47,12,0,1,1,1.0132,469.61,1,1.0,0,0,1,1,0,0,1,0.2752,0,100,Critical,Yes
TXN-000003,VEND-0085,Operations,Southern,RFQ,37827.49,40681.07,258,192,2,19,1,1,0,0,1,2676.09,3,0,0,1,1.0754,2853.58,66,0.3438,0,0,0,0,0,0,0,0.0707,0,70,High,Yes
TXN-000004,VEND-0063,IT,Sabah,Direct Award,3240.05,2998.27,323,323,1,14,1,0,0,0,4,449.31,30,0,0,0,0.9254,-241.78,0,0.0,1,0,1,0,0,1,0,0.1387,1,55,High,Yes
TXN-000005,VEND-0037,Project Management,Sarawak,Open Tender,66742.78,55104.02,285,285,7,20,1,1,0,2,0,0.0,10,0,0,0,0.8256,-11638.76,0,0.0,0,0,0,0,0,0,1,0.0,0,10,Low,No
TXN-000006,VEND-0113,Finance,Northern,Direct Award,69400.52,81696.81,122,122,3,7,1,1,0,0,0,0.0,4,0,0,0,1.1772,12296.29,0,0.0,1,0,0,0,0,0,0,0.0,0,30,Medium,No
TXN-000007,VEND-0073,Project Management,Southern,Open Tender,63957.15,74618.53,125,125,1,57,1,1,0,0,0,0.0,25,0,0,1,1.1667,10661.38,0,0.0,0,0,1,0,0,0,0,0.0,1,55,High,Yes
TXN-000008,VEND-0023,Project Management,Central,Direct Award,24107.2,21149.47,75,75,1,12,1,1,0,0,2,2099.45,9,0,0,0,0.8773,-2957.73,0,0.0,1,0,1,0,0,0,0,0.0871,0,20,Low,No
TXN-000009,VEND-0031,Corporate Services,Central,RFQ,49818.15,45652.83,385,385,8,18,1,1,0,0,1,3550.97,6,0,0,0,0.9164,-4165.32,0,0.0,0,0,0,0,0,0,0,0.0713,0,0,Low,No
TXN-000010,VEND-0091,Facilities,Central,Open Tender,150060.68,194823.34,34,34,6,23,0,1,0,1,5,5856.22,2,0,0,0,1.2983,44762.66,0,0.0,0,0,0,0,1,0,1,0.039,0,65,High,Yes
TXN-000011,VEND-0079,Project Management,Central,Open Tender,9336.8,7263.62,136,136,5,22,0,0,0,0,0,0.0,12,0,0,0,0.778,-2073.18,0,0.0,0,0,0,0,1,1,0,0.0,0,35,Medium,No
TXN-000012,VEND-0060,Corporate Services,Central,Direct Award,15113.64,16810.87,485,458,3,9,0,1,0,6,0,0.0,5,1,0,0,1.1123,1697.23,27,0.059,1,0,0,0,1,0,1,0.0,0,100,Critical,Yes
TXN-000013,VEND-0025,Procurement,Sarawak,Panel Vendor,41266.09,30126.38,125,82,5,59,1,1,0,2,0,0.0,21,0,0,0,0.7301,-11139.71,43,0.5244,0,0,0,0,0,0,1,0.0,1,45,Medium,No
TXN-000014,VEND-0037,Finance,Sarawak,Panel Vendor,5914.99,5875.07,39,23,1,43,1,0,0,0,3,2513.06,23,1,0,0,0.9933,-39.92,16,0.6957,0,0,1,0,0,1,0,0.4249,1,100,Critical,Yes
TXN-000015,VEND-0008,Finance,Sarawak,Open Tender,6569.42,5164.75,282,282,2,57,1,1,0,0,0,0.0,3,0,0,0,0.7862,-1404.67,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000016,VEND-0116,Project Management,Sabah,RFQ,29458.64,24077.98,219,219,7,17,0,1,0,0,6,2337.42,5,0,0,0,0.8173,-5380.66,0,0.0,0,0,0,0,1,0,0,0.0793,0,25,Medium,No
TXN-000017,VEND-0027,Facilities,Sarawak,RFQ,105224.38,103421.41,651,455,6,11,1,1,0,0,0,0.0,2,0,0,0,0.9829,-1802.97,196,0.4308,0,0,0,0,0,0,0,0.0,0,30,Medium,No
TXN-000018,VEND-0069,Procurement,Southern,Open Tender,26557.33,25331.32,421,421,3,40,1,1,0,0,2,695.35,10,0,0,0,0.9538,-1226.01,0,0.0,0,0,0,0,0,0,0,0.0262,0,0,Low,No
TXN-000019,VEND-0065,Procurement,Central,Open Tender,6491.42,5000.0,405,405,3,27,1,1,0,0,1,1072.49,12,0,1,0,0.7702,-1491.42,0,0.0,0,0,0,0,0,0,0,0.1652,0,5,Low,No
TXN-000020,VEND-0088,Operations,Southern,Panel Vendor,31130.34,23532.11,61,61,7,18,1,1,0,2,0,0.0,11,0,0,0,0.7559,-7598.23,0,0.0,0,0,0,0,0,0,1,0.0,0,10,Low,No
TXN-000021,VEND-0104,Procurement,Southern,Direct Award,15759.34,14654.89,394,394,1,11,1,1,0,0,1,7078.16,6,1,0,0,0.9299,-1104.45,0,0.0,1,0,1,0,0,0,0,0.4491,0,55,High,Yes
TXN-000022,VEND-0008,Facilities,Northern,Open Tender,15860.29,12170.52,416,390,3,19,1,1,0,0,0,0.0,14,0,0,0,0.7674,-3689.77,26,0.0667,0,0,0,0,0,0,0,0.0,0,20,Low,No
TXN-000023,VEND-0083,Finance,Central,Open Tender,15108.36,14114.33,104,104,4,35,1,1,0,0,2,1015.33,5,0,0,0,0.9342,-994.03,0,0.0,0,0,0,0,0,0,0,0.0672,0,0,Low,No
TXN-000024,VEND-0061,Corporate Services,Central,Panel Vendor,29506.15,23150.23,461,461,1,58,1,1,0,2,1,4601.69,19,0,0,0,0.7846,-6355.92,0,0.0,0,0,1,0,0,0,1,0.156,1,25,Medium,No
TXN-000025,VEND-0072,Finance,Northern,Direct Award,9094.17,9380.52,226,226,3,1,1,1,0,2,3,441.76,29,0,0,0,1.0315,286.35,0,0.0,1,0,0,1,0,0,1,0.0486,1,65,High,Yes
TXN-000026,VEND-0004,Finance,Sabah,RFQ,11257.43,9603.55,367,367,2,11,1,1,0,0,0,0.0,12,0,0,0,0.8531,-1653.88,0,0.0,0,0,0,0,0,0,0,0.0,0,0,Low,No
TXN-000027,VEND-0102,Finance,Northern,Direct Award,4051.44,2932.67,337,227,1,8,1,1,0,2,1,325.95,68,0,0,0,0.7239,-1118.77,110,0.4846,1,0,1,0,0,0,1,0.0805,1,70,High,Yes
TXN-000028,VEND-0003,Facilities,Sarawak,Open Tender,8857.93,8467.68,258,258,2,36,1,1,0,0,2,850.19,1,0,0,1,0.9559,-390.25,0,0.0,0,0,0,0,0,0,0,0.096,0,20,Low,No
TXN-000029,VEND-0043,IT,Southern,Open Tender,56209.25,63000.0,272,232,3,37,1,1,0,2,0,0.0,5,0,1,0,1.1208,6790.75,40,0.1724,0,0,0,0,0,0,1,0.0,0,55,High,Yes
TXN-000030,VEND-0112,Facilities,Northern,Open Tender,19751.36,15000.0,225,225,6,17,1,0,0,2,0,0.0,3,0,1,0,0.7594,-4751.36,0,0.0,0,0,0,0,0,1,1,0.0,0,35,Medium,No
TXN-000031,VEND-0038,Corporate Services,Sabah,Direct Award,30695.58,25833.95,61,61,3,13,1,1,0,0,2,1077.25,0,0,0,0,0.8416,-4861.63,0,0.0,1,0,0,0,0,0,0,0.0351,0,10,Low,No
TXN-000032,VEND-0096,IT,Sabah,Direct Award,44699.99,32669.0,65,59,1,12,1,1,0,0,0,0.0,14,0,0,0,0.7309,-12030.99,6,0.1017,1,0,1,0,0,0,0,0.0,0,40,Medium,No
